Exchange;Time;Side;Price;Size;Instrument
Deribit;1596789021;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789022;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789025;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789026;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789027;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789028;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789029;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789030;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789032;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789036;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789040;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789042;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789043;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789044;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789045;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789047;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789049;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789049;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789049;Buy;Market;-1950;BTC-PERPETUAL
Deribit;1596789050;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789050;Buy;Market;-1800;BTC-PERPETUAL
Deribit;1596789052;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789052;Buy;Market;-1650;BTC-PERPETUAL
Deribit;1596789058;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789058;Buy;Market;-1650;BTC-PERPETUAL
Deribit;1596789070;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789070;Buy;Market;-1350;BTC-PERPETUAL
Deribit;1596789075;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789075;Buy;Market;-1200;BTC-PERPETUAL
Deribit;1596789076;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789076;Buy;Market;-1200;BTC-PERPETUAL
Deribit;1596789077;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789077;Buy;Market;-900;BTC-PERPETUAL
Deribit;1596789078;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789078;Buy;Market;-900;BTC-PERPETUAL
Deribit;1596789079;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789079;Buy;Market;-900;BTC-PERPETUAL
Deribit;1596789081;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789081;Buy;Market;-450;BTC-PERPETUAL
Deribit;1596789082;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789082;Buy;Market;-300;BTC-PERPETUAL
Deribit;1596789083;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789083;Buy;Market;-300;BTC-PERPETUAL
Deribit;1596789085;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789085;Buy;Market;-300;BTC-PERPETUAL
Deribit;1596789087;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789087;Buy;Market;-300;BTC-PERPETUAL
Deribit;1596789095;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789096;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789097;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789098;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789099;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789100;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789101;Sell;Market;1200;BTC-PERPETUAL
Deribit;1596789102;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789103;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789104;Buy;Market;150;BTC-PERPETUAL
ByBit;1596789105;Buy;Market;500;BTCUSD
Deribit;1596789106;Sell;Market;150;BTC-PERPETUAL
Deribit;1596789107;Buy;Market;150;BTC-PERPETUAL
ByBit;1596789108;Buy;Market;500;BTCUSD
Deribit;1596789109;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789109;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789111;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789112;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789114;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789114;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789115;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789117;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789118;Buy;Market;150;BTC-PERPETUAL
Deribit;1596789127;Sell;Market;150;BTC-PERPETUAL
Deribit;1596789127;Sell;Market;1800;BTC-PERPETUAL
Deribit;1596789128;Sell;Market;150;BTC-PERPETUAL
Deribit;1596789128;Sell;Market;1800;BTC-PERPETUAL
